Utility_Number,Utility_Name,State_FIPS,State_Name,Total_Sales_MWh,BA_Code,BA_Number,BA_Long_Name,BA_Short_Name
2911,"Canadian Valley Elec Coop, Inc",40000,Oklahoma,665341,51,59504,"Southwest Power Pool",SWPP
2955,"Canby Utility Board",41000,Oregon,181369,38,15248,"Portland General Electric",PGE
2960,"Caney Fork Electric Coop, Inc",47000,Tennessee,587225,57,18642,"Tennessee Valley Authority",TVA
2961,"Caney Valley El Coop Assn, Inc",20000,Kansas,58185,51,59504,"Southwest Power Pool",SWPP
2974,"Canton Municipal Utilities",28000,Mississippi,116801,28,56669,"Midcontinent Independent System Operator",MISO
2982,"Cape Hatteras Elec Member Corp",37000,North Carolina,128003,39,14725,"PJM Interconnection, LLC",PJM
2985,"Capital Electric Coop, Inc",38000,North Dakota,350476,51,59504,"Southwest Power Pool",SWPP
2986,"Cam Wal Electric Coop, Inc",46000,South Dakota,60032,51,59504,"Southwest Power Pool",SWPP
2998,"Carbon Power & Light, Inc",56000,Wyoming,123772,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
3046,"Duke Energy Progress - (NC)",37000,North Carolina,37023167,10,3046,"Duke Energy Progress East",CPLE
3046,"Duke Energy Progress - (NC)",45000,South Carolina,6246843,10,3046,"Duke Energy Progress East",CPLE
3075,"Carroll County - (TN)",47000,Tennessee,414308,57,18642,"Tennessee Valley Authority",TVA
3076,"Carroll Electric Coop, Inc - (OH)",39000,Ohio,144838,39,14725,"PJM Interconnection, LLC",PJM
3081,"Carroll Electric Member Corp - (GA)",13000,Georgia,1024485,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
3093,"Carroll Electric Coop Corp - (AR)",5000,Arkansas,1742173,51,59504,"Southwest Power Pool",SWPP
3093,"Carroll Electric Coop Corp - (AR)",29000,Missouri,129891,51,59504,"Southwest Power Pool",SWPP
3107,"Carteret-Craven El Member Corp",37000,North Carolina,573844,10,3046,"Duke Energy Progress East",CPLE
3108,"City of Cartersville - (GA)",13000,Georgia,561973,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
3113,"City of Carthage - (MO)",29000,Missouri,283078,49,17716,"Southwestern Power Administration",SPA
3203,"Cedar Falls Utilities",19000,Iowa,482793,28,56669,"Midcontinent Independent System Operator",MISO
3205,"Cedar-Knox Public Power Dist",31000,Nebraska,261781,51,59504,"Southwest Power Pool",SWPP
3208,"Cedarburg Light & Water Comm",55000,Wisconsin,103098,28,56669,"Midcontinent Independent System Operator",MISO
3216,"City of Celina - (OH)",39000,Ohio,223834,39,14725,"PJM Interconnection, LLC",PJM
3222,"Central Alabama Electric Coop",1000,Alabama,671079,61,189,"PowerSouth Energy Cooperative",AEC
3226,"Central Rural Electric Cooperative, Inc",40000,Oklahoma,575821,1,924,"Associated Electric Cooperative, Inc.",AECI
3235,"City of Central City",31000,Nebraska,30897,51,59504,"Southwest Power Pool",SWPP
3236,"Central Electric Coop, Inc - (SD)",46000,South Dakota,345290,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
